"scene_id","scene_title","start_time","end_time","duration_seconds","spoken_narration","page_or_component","exact_actions","important_ui_emphasis","optional_text_overlay","transition","demonstrability"
"01","The fragmented-record problem","00:00.000","00:20.640","20.640","The idea for AutoHuolto AI grew from a problem I had already encountered. I had used AI assistance to organize vehicle maintenance information into an Excel-based service record. That experience showed me the value of structured maintenance data, but also how difficult it can be to interpret invoices, service-book entries, handwritten notes, and photographs.","Home-page hero; synthetic-demo summary; empty image-upload workspace.","Hold the hero for 4.8 seconds; slowly scroll to the synthetic-demo summary; at about 12.5 seconds continue to Phases 2–3 and rest on the empty local-image state.","Privacy-first product promise, fragmented document inputs, and controlled workflow.","Invoices • service-book entries • handwritten notes • photographs","Slow cross-dissolve to the rendered MVP specification.","Fully demonstrable."
"02","From idea to MVP specification","00:20.640","00:30.680","10.040","To turn the idea into a working application, I first used the GPT-5.6 Sol model in ChatGPT to define the project and create an MVP specification.","Rendered CODEX_BUILD_SPEC.md preview, with a small live application preview.","Show the specification title and gently pan across mission and workflow bullets; do not expose source code, secrets, or private prompts.","A bounded MVP grew from the identified problem.","GPT-5.6 Sol → privacy-first MVP specification","Expand the application preview to full screen on Four controlled steps.","Partial: the resulting specification exists, but the original ChatGPT conversation is not in the repository."
"03","The planned end-to-end workflow","00:30.680","00:44.560","13.880","The plan described a privacy-focused web application that could extract maintenance events from images, let the user review the results, identify the correct vehicle variant, research maintenance intervals from reliable sources, and calculate the current maintenance status.","Home-page Four controlled steps and phase headings.","Hold the four cards for six seconds; move the pointer across Describe, Redact, Review, and Inspect results; make one slow vertical pan over the Phase 5–8 headings.","One connected flow with status calculation separate from AI extraction and research.","Extract → Review → Resolve variant → Research → Calculate","Click the Privacy navigation link at the boundary.","Fully demonstrable."
"04","Product constraints and privacy boundary","00:44.560","00:53.660","9.100","It also set clear constraints: no permanent accounts, no database, no unnecessary storage of sensitive documents, and no unsupported recommendations presented as facts.","Privacy-page intro and Built-in data minimization cards.","Hold on Data handling is limited to one session; scroll enough to show No permanent application storage, Redaction happens in the browser, and The session ends when the page closes.","Application statelessness, local redaction, session memory, and honest provider-retention disclosure.","No accounts • No database • Session memory only","Cross-dissolve into a Codex/application split view.","Fully demonstrable."
"05","Implementation and verification with Codex","00:53.660","01:13.380","19.720","I then implemented the application with Codex, again using GPT-5.6 Sol. Codex produced the project code and helped resolve technical errors during development. My role was to guide and verify the process. I tested each workflow, supplied error logs, reviewed the results, and requested functional or visual changes whenever the application did not behave as intended.","Codex task history beside the running application; concise passing test or CI result.","Scroll representative phase requests and one error-log/fix exchange; around 01:04 show passing checks; at 01:10 enlarge the application; never show secrets, customer data, or .env.","Human guidance, testing, and verification around implementation.","Specify → Implement → Test → Review","Browser grows to full screen on the vehicle form.","Demonstrable with the current task and repository history; every historical interaction is not archived in the repository."
"06","Vehicle details and document upload","01:13.380","01:23.660","10.280","The completed application begins by collecting the vehicle’s make, model, year, engine, transmission, market, and current odometer reading. The user then uploads photographs of maintenance records.","Phase 1 vehicle form, confirmed summary, and Phases 2–3 upload panel.","Start with fictional Nordica Aurora details filled except odometer; type 180000; point to N18-X, Hybrid, CVT, and Europe; confirm; at 01:20.960 select three fictional images and finish on 3/10 in memory.","Variant-defining fields, current odometer, and in-tab memory.","Vehicle details remain in this tab’s memory","Smooth scroll from the image queue into the Canvas editor.","Form is fully demonstrable; upload needs synthetic image assets that are absent from this checkout."
"07","Browser-side sanitization and explicit approval","01:23.660","01:37.500","13.840","Before an image leaves the browser, names, addresses, registration numbers, vehicle identification numbers, and other sensitive details can be covered. The application creates new sanitized PNG files, and only the versions approved by the user are submitted.","Image queue, Canvas editor, exact sanitized preview, diagnostics, and consent panel.","Select the first record; drag a redaction over a fictional name and registration; create the submission preview; pause on black pixels and size diagnostics; check the review confirmation; approve sanitized images; do not submit yet.","New PNG pixels, EXIF removal, and separate preview, approval, and submission steps.","Original stays local • New PNG only • EXIF removed","Hold the enabled Submit to OpenAI button and click it at 01:37.500.","Fully implemented; requires the synthetic image assets from Scene 06."
"08","Structured extraction, editing, and warnings","01:37.500","01:51.760","14.260","OpenAI extracts the visible maintenance events into a strict structured format. The user can compare each event with the original evidence, correct dates and odometer readings, adjust component mappings, add or remove records, and resolve duplicate or chronological warnings.","Extraction progress; review diagnostics; event table; active row; event editor; confirmation.","Show real extraction progress for about 1.5 seconds; dissolve to pre-extracted Tab C; pause on duplicate and chronology warnings; edit event-demo-ambiguous; show the highlighted row; point to raw evidence, automatic date precision, normalized odometer, component selector, add/remove/merge controls, and warning acknowledgement.","Editable structure, persistent active-row highlighting, unit normalization, inferred date precision, and blocking warnings.","Editable structured events • duplicate and chronology checks","Show Confirm reviewed service history, then wipe gently to Phase 5.","Partial in real time: pre-run extraction and prepare warnings through the UI because model latency is variable and the built-in demo lacks duplicate/chronology warnings."
"09","Explicit vehicle-variant selection","01:51.760","02:03.960","12.200","After the history is confirmed, the application searches for possible vehicle variants. Ambiguous results are never selected automatically. The sources remain visible, and the user explicitly confirms the correct vehicle before maintenance research continues.","Phase 5 candidate cards, evidence, sources, and confirmation controls.","Start with both radios unselected and confirmation disabled; hold on strong and partial candidates and sources; select N18-X/e-CVT; show the enabled button; explicitly confirm; finish on the unresolved transmission-code note.","No auto-selection, source compatibility, and explicit confirmation.","Ambiguous ≠ auto-selected","Continue the same downward scroll into Phase 6.","Fully demonstrable with the built-in synthetic demo."
"10","Two-stage, source-backed maintenance research","02:03.960","02:20.960","17.000","The research stage prioritizes manufacturer manuals and official technical sources. Evidence is converted into a validated structure, conflicting claims remain visible, and every recommendation retains its source. When evidence is insufficient, the application reports that limitation instead of inventing an interval.","Phase 6 summary, interval claims, source hierarchy, conflict card, and insufficient-evidence result.","Start on Two-stage, source-backed search and counts; pan through engine oil with original 10,000 mi, normalized kilometres, source tier, compatibility, trustworthiness, and link; continue to two timing-belt claims with no selection; end on coolant Insufficient evidence.","Original units, traceable sources, preserved conflicts, and no guessing.","Preserve the source • Preserve the conflict • Never guess","Slow scroll to Phase 7 and Status is not an AI opinion.","UI is demonstrable; built-in demo links use reserved .invalid domains, so use pre-run live research to show reachable pages."
